iter	RMSE
0	145.2018023
1	126.9956271
2	113.6374326
3	102.4092631
4	92.80117394
5	85.44950675
6	79.56923714
7	75.34882573
8	71.48246796
9	68.35946404
10	66.08670388
11	64.12139203
12	62.1494468
13	60.27820383
14	58.38067342
15	57.32370341
16	55.78258128
17	54.88953369
18	53.71922726
19	52.98718035
20	51.33977167
21	50.78968283
22	50.07446887
23	49.31048979
24	48.77814916
25	48.32139654
26	47.91348746
27	47.39976993
28	47.04110405
29	46.05191346
30	45.54603523
31	45.08661569
32	44.5326924
33	44.29167639
34	43.84854212
35	43.15422983
36	42.81822487
37	42.48170131
38	42.20577139
39	41.9036243
40	41.67195432
41	41.46417858
42	41.35392183
43	41.15162414
44	41.00311862
45	40.70772412
46	40.45218341
47	40.24413569
48	40.12994226
49	40.00823646
50	39.8528311
51	39.73469229
52	39.58172209
53	39.438869
54	39.33549039
55	39.13418281
56	38.95651641
57	38.7487837
58	38.50334638
59	38.39268935
60	38.23336056
61	38.04763853
62	37.91247871
63	37.7808861
64	37.66492971
65	37.61366664
66	37.48872901
67	37.2907451
68	37.1436851
69	37.02697204
70	36.95941374
71	36.84670705
72	36.67077411
73	36.62931543
74	36.50520366
75	36.35834863
76	36.26938017
77	36.05689735
78	35.92942947
79	35.84934212
80	35.7588319
81	35.69746829
82	35.62072878
83	35.55383739
84	35.45011524
85	35.38837726
86	35.34781894
87	35.26288103
88	35.22499226
89	35.16102372
90	35.09859506
91	35.00904272
92	34.96954837
93	34.90439265
94	34.84548053
95	34.76193634
96	34.66608543
97	34.60184706
98	34.56085618
99	34.53438715
100	34.46694112
101	34.41802108
102	34.3277465
103	34.25832717
104	34.21292928
105	34.18762675
106	34.13472748
107	34.0395651
108	34.00516458
109	33.92826069
110	33.87294849
111	33.78676554
112	33.7282546
113	33.68768844
114	33.64787659
115	33.60418216
116	33.57626788
117	33.5345294
118	33.43838044
119	33.41305276
120	33.34722354
121	33.29988066
122	33.25219795
123	33.21371657
124	33.18723606
125	33.14843558
126	33.09155354
127	33.0509306
128	32.98966205
129	32.95648375
130	32.91664907
131	32.88600468
132	32.84743658
133	32.81780538
134	32.78032553
135	32.7375807
136	32.69971899
137	32.68082131
138	32.64267664
139	32.58435922
140	32.5609991
141	32.48473994
142	32.43887592
143	32.39337262
144	32.34848182
145	32.28705717
146	32.26745797
147	32.21949363
148	32.17271073
149	32.13505437
150	32.09185101
151	32.05426509
152	32.01437644
153	31.97410861
154	31.94306119
155	31.92696542
156	31.91259758
157	31.88638015
158	31.84355294
159	31.81158683
160	31.78226989
161	31.7516261
162	31.71680311
163	31.66711175
164	31.63768156
165	31.6042014
166	31.56139001
167	31.51352359
168	31.46385921
169	31.42119378
170	31.35905264
171	31.32758159
172	31.30014428
173	31.26115234
174	31.23927735
175	31.19801455
176	31.16682043
177	31.13711415
178	31.11185668
179	31.07421928
180	31.03157375
181	30.98809871
182	30.97440952
183	30.95116914
184	30.91548007
185	30.89168466
186	30.87324567
187	30.82913706
188	30.80440963
189	30.76313091
190	30.75367867
191	30.73133238
192	30.70084272
193	30.68305183
194	30.65084742
195	30.62819847
196	30.5889947
197	30.5651672
198	30.54203238
199	30.51601802
200	30.49026708
201	30.46005707
202	30.43031943
203	30.40695711
204	30.3587695
205	30.34512574
206	30.2478124
207	30.22289962
208	30.19621478
209	30.16267776
210	30.1498923
211	30.12462463
212	30.09779345
213	30.03595751
214	30.00779444
215	29.99569028
216	29.9702083
217	29.9494
218	29.92881182
219	29.92158453
220	29.89612872
221	29.85244341
222	29.82452623
223	29.80276272
224	29.7932894
225	29.75474128
226	29.71443616
227	29.69426688
228	29.67913306
229	29.66807128
230	29.64484293
231	29.61555244
232	29.60629355
233	29.58067157
234	29.55666392
235	29.53816122
236	29.5140882
237	29.43835143
238	29.41873477
239	29.39260735
240	29.36822847
241	29.34712469
242	29.30781135
243	29.29038614
244	29.27010953
245	29.25162103
246	29.21762765
247	29.19156578
248	29.17941452
249	29.15883012
250	29.14073372
251	29.118376
252	29.07324181
253	29.04324655
254	29.02094671
255	29.01328298
256	28.97207038
257	28.94849148
258	28.93214884
259	28.90403442
260	28.87988836
261	28.86140176
262	28.83920493
263	28.82379035
264	28.80457388
265	28.7891567
266	28.75088452
267	28.7350245
268	28.71015782
269	28.69199514
270	28.6772072
271	28.66055999
272	28.64746773
273	28.63273508
274	28.61488033
275	28.59305028
276	28.57031245
277	28.55726222
278	28.53798972
279	28.51156262
280	28.49057621
281	28.47435107
282	28.4623503
283	28.43128035
284	28.41545505
285	28.39485106
286	28.38263022
287	28.36172376
288	28.34977425
289	28.33244648
290	28.28349488
291	28.26111457
292	28.24503406
293	28.22816552
294	28.21165518
295	28.19572915
296	28.18090224
297	28.16998871
298	28.15159994
299	28.13461511
300	28.12284955
301	28.08607973
302	28.06933396
303	28.04951606
304	28.03364785
305	28.01131719
306	27.98582561
307	27.96922593
308	27.95236101
309	27.93582774
310	27.91673309
311	27.90859286
312	27.89302869
313	27.86042821
314	27.84365844
315	27.81765714
316	27.80096187
317	27.78516949
318	27.77322995
319	27.76102724
320	27.74486703
321	27.73064878
322	27.71697266
323	27.70665956
324	27.67857394
325	27.66207246
326	27.64576888
327	27.63121179
328	27.60070159
329	27.58538932
330	27.56979203
331	27.55529085
332	27.53291124
333	27.52510972
334	27.51147801
335	27.50171419
336	27.48335695
337	27.47515463
338	27.45650121
339	27.44625849
340	27.42257286
341	27.40934529
342	27.39886147
343	27.38353257
344	27.36541564
345	27.35054832
346	27.33346597
347	27.32311644
348	27.31242904
349	27.29866708
350	27.28610326
351	27.2784744
352	27.25722541
353	27.243845
354	27.22480974
355	27.20951165
356	27.20100724
357	27.18856896
358	27.17763915
359	27.16644226
360	27.15621132
361	27.14778709
362	27.13711253
363	27.12799239
364	27.10578963
365	27.08707089
366	27.06669689
367	27.04052176
368	27.02843002
369	27.01512306
370	26.99520224
371	26.98148753
372	26.97464955
373	26.94989892
374	26.9344841
375	26.91312241
376	26.89906924
377	26.89102854
378	26.87719039
379	26.87558979
380	26.87015066
381	26.85035398
382	26.83582633
383	26.81159348
384	26.80222692
385	26.79246064
386	26.77508273
387	26.75657694
388	26.73878979
389	26.72440669
390	26.70980935
391	26.69423068
392	26.6739994
393	26.66652827
394	26.63234135
395	26.62223155
396	26.61562481
397	26.6035645
398	26.58863255
399	26.57616382
400	26.56229868
401	26.5431592
402	26.53116046
403	26.5125766
404	26.49861041
405	26.4859671
406	26.47102108
407	26.46022536
408	26.44863658
409	26.43310606
410	26.42126325
411	26.41102928
412	26.39683388
413	26.38379458
414	26.36995348
415	26.34174087
